se_01,se_02,se_03,wb_01,wb_02,wb_03
0.684,1.4929,1.2791,0.2081,1.8698,1.2225
2.1489,1.8068,0.7093,0.6904,0.6269,0.8216
1.3351,0.969,1.6206,0.6779,1.7005,1.2908
-0.1941,-0.5501,-1.1727,-0.3075,-0.486,-0.4602
-1.0581,-2.2729,-0.763,-3.0624,-0.9641,-0.2515
1.4087,-0.0568,0.2825,0.1697,-1.4265,0.2471
0.4273,0.0653,-0.0076,1.4252,2.074,2.7968
-0.3199,0.4508,0.7372,1.0196,-0.3999,0.191
1.5216,1.4064,2.1538,-0.2866,0.3304,1.6007
2.3151,0.241,1.9193,1.3023,1.8584,0.7419
1.4747,0.5748,0.8641,-0.0133,1.3122,-0.1782
-0.7396,-0.4762,-0.7844,-0.5748,0.193,-0.0033
-1.8552,-1.5507,-0.9865,0.9551,1.1468,1.062
1.2294,1.6228,1.9491,1.2363,1.8858,1.0723
0.3543,0.2708,1.1819,-1.6853,-0.9668,-1.1214
1.0259,0.5626,0.9307,0.4462,2.1621,1.6583
-1.1619,-0.8557,-1.0334,0.5038,-1.6071,-0.2959
-0.9631,0.4222,0.0622,-0.7403,-0.4727,-0.7734
-1.352,-0.3335,-0.6772,0.961,-0.4411,-0.2339
-0.3709,-0.0404,-0.6554,-1.1611,-0.3559,0.3131
1.5702,0.8894,0.3146,0.1849,1.4971,0.1544
-0.5562,0.1863,-1.5791,0.2249,-0.65,-1.4593
-0.5715,0.6351,-1.0726,0.1837,0.2227,-0.4677
0.0044,-1.0403,0.6349,-0.684,0.9212,-0.001
0.1847,-0.0157,-0.4131,-0.518,-0.3326,0.6818
0.455,-1.5121,0.2632,0.2493,0.1309,1.1138
0.1272,0.4455,-1.1488,-0.4256,-0.6387,-0.816
-1.0231,0.9696,0.2193,2.1072,0.9716,2.7994
-1.1846,-0.2756,-0.3466,-0.9474,0.6194,0.5835
0.6619,0.2317,0.4021,0.3427,0.9571,-0.217
0.7375,0.3583,-0.399,-1.6764,-0.4984,-0.8982
0.626,0.8134,1.0448,-0.678,-1.3394,-0.3134
0.2501,0.3354,-0.2864,-0.8556,0.0381,-1.0264
1.3234,0.4757,0.1385,1.309,0.1474,0.6717
-0.304,-0.8603,-1.2348,-0.7799,0.1778,-0.5172
0.0885,1.6168,0.7135,-0.1198,1.3384,1.0466
-0.7411,-0.2089,0.0112,-0.7976,-0.8874,-2.0255
-0.4161,-0.7243,-2.1224,-0.9651,-0.1009,-0.5965
0.793,1.7832,0.8986,-0.7278,0.153,-0.4074
-0.4483,-0.4891,0.2446,0.5168,1.2374,0.7507
-0.3298,-0.8545,0.2775,-0.0094,1.2455,-0.8043
-0.8942,-1.7012,-1.2257,0.0667,-0.9117,-0.7716
-2.0061,-0.6796,-0.9633,0.3878,-0.3842,0.9374
-0.1383,0.1673,0.4408,1.1108,0.0513,0.9864
-0.7475,-0.0623,-0.7163,-0.1036,-0.6099,-1.5078
-0.412,0.7072,0.4809,-0.4173,-0.1995,-0.0321
1.3763,1.3669,1.4655,0.6108,1.4938,1.6639
-0.9497,0.2215,1.1609,-0.2546,-0.6521,0.2792
-0.255,-1.0721,-0.5117,-1.2049,-0.1887,-0.7654
1.7451,-0.3299,0.8483,-1.122,0.4485,0.5641
-0.0912,1.1031,0.4718,1.4272,1.9899,1.593
0.3424,0.2618,-0.8008,-0.6262,-1.5348,-0.5674
-0.282,-0.373,-0.2052,-1.8963,-0.9002,-1.7932
0.6997,0.5923,1.2495,1.2476,0.7678,0.8131
0.7356,2.3363,0.5853,1.2144,2.2287,0.7242
0.7886,0.7528,1.1267,0.2552,0.514,-0.0693
-0.3158,-0.1605,-1.8667,0.1261,0.6553,0.6582
-0.464,-0.5179,1.1287,1.7691,0.8929,1.2629
0.1036,-0.0579,0.3999,-0.1339,0.2355,0.098
0.4976,0.9297,1.0631,1.7339,0.7302,-0.5192
0.346,-1.2272,0.6913,-0.5961,-0.8118,-1.1733
-1.2473,-1.5279,0.474,-1.4866,-1.3892,-1.1908
-0.7008,-0.1162,-0.5187,-0.6972,1.3933,-0.8538
0.0735,-0.6396,-0.1777,-0.5807,-0.3489,-0.7723
0.9006,-0.9327,-1.0145,0.7002,0.7941,1.5926
1.0646,0.2761,1.0378,0.6108,0.3055,1.5298
-0.3417,-0.4523,-0.6607,0.0021,-2.0513,-0.9223
0.1788,0.8291,-0.4474,0.5775,-0.6268,0.0542
0.9577,0.2499,-0.1873,0.265,0.3226,0.0097
0.4132,-0.2795,0.9075,-0.1579,0.9856,-0.3764
-0.8716,0.1459,-1.396,0.1888,1.2117,-0.9622
-0.3539,-1.3926,0.2083,-1.3181,-0.8597,-1.422
2.9302,2.2231,1.5821,1.5083,1.2047,-0.1917
1.0066,1.7202,-0.0295,1.5972,0.4364,0.7297
1.3609,0.2307,-0.4623,0.7874,0.1052,1.7506
-0.0022,0.8381,0.7811,0.1215,1.7063,0.2077
0.1171,0.1501,1.2394,-0.939,0.0701,-0.6927
-1.1311,-0.6085,1.3344,0.0077,0.4119,0.9435
-0.0954,0.9016,-0.6283,0.1514,-0.1519,-0.2519
-0.7438,0.3316,-0.4109,-0.2385,-0.6649,-1.4574
-0.8303,0.5177,0.1596,-1.8444,-0.4877,-1.6146
1.3496,1.2105,0.7019,0.2021,1.7242,1.3053
-0.9503,-0.9505,-0.1832,-1.2416,-0.755,-1.2802
0.516,-0.83,0.6976,1.3999,0.8396,0.263
-0.6068,-0.2536,0.2431,0.3678,-0.2519,-0.6193
1.0629,1.4223,1.1356,1.3154,1.5844,0.2811
0.9995,-1.4631,0.3103,0.2562,0.9349,0.0143
-0.1616,0.0136,-0.8639,0.4907,0.7839,0.8465
0.5627,0.7156,1.2881,0.0572,-0.2059,-0.6265
-0.2055,0.8211,-0.5038,-1.5501,-2.1644,-0.954
0.1635,0.0881,0.5481,0.2286,0.2203,1.1807
-0.897,-1.0051,-0.621,1.1413,0.5739,1.283
-0.9807,-0.2908,-0.0744,0.2265,-0.5276,0.9216
-0.1674,0.0653,-1.9118,0.2189,-1.2813,-0.872
-0.2269,-1.5282,-1.2046,0.3812,-0.559,-0.1923
0.2074,-1.2676,-1.2081,-1.476,-0.5434,0.6188
0.7319,0.5033,0.246,1.5085,1.2198,1.0015
1.7882,3.2613,1.6478,-0.6766,-0.1497,-0.5553
0.7632,0.6597,0.6645,0.0058,1.0857,0.2178
0.1224,0.8973,-1.1479,1.0152,1.6417,1.0222
-0.2955,-1.3155,-0.8245,-0.2577,-1.4756,-1.4409
1.2576,0.9083,0.7995,0.5314,-0.3792,0.1159
-1.2324,-1.8218,-2.587,-0.8522,0.5116,-0.8592
-0.2263,0.543,0.0599,0.0905,0.2226,-0.0715
-0.772,-0.0113,0.799,-0.7533,-0.9801,-0.9476
-1.6442,-0.8479,-0.318,0.3734,0.157,2.0798
1.4314,1.3411,2.1801,-0.7736,0.6255,-0.1797
-2.0164,-1.7397,-2.217,-0.372,-0.0418,-0.5223
-0.0815,-0.3131,-0.9001,-1.0438,0.9588,0.4282
0.0486,0.5445,-0.412,0.0856,0.574,0.3512
0.6432,-0.0697,0.7086,1.4709,0.5845,0.3237
-0.6587,-1.3101,-0.0162,-1.5351,-2.3705,-1.958
-1.2723,-0.0813,-1.1466,-2.1705,-2.302,-1.5865
-1.7709,-1.0436,-1.7739,0.4584,-0.132,-1.097
-0.6753,0.0704,-0.2655,1.0317,0.0544,-0.078
0.5857,0.3017,-0.6615,0.5591,1.3256,1.2687
1.2421,-0.9655,0.0735,-0.1211,0.5424,0.6018
-0.0137,-1.5776,0.0693,-0.211,0.6302,0.4061
0.4378,0.8611,0.2265,-1.0663,-1.1356,-1.3165
-0.1388,0.9869,-0.1304,0.3202,-0.447,0.7843
-0.2368,0.8049,-0.8133,1.2498,2.1047,1.7628
-0.3576,0.5995,0.4713,0.6249,-0.8937,-0.1359
-0.446,-1.6241,-1.8861,-0.3892,-0.4191,-0.6374
-0.6539,-2.2064,-0.6465,1.5257,0.3704,1.5835
0.1745,0.0587,-0.0648,0.6885,1.5819,0.1541
-0.3252,0.0616,-1.3314,0.1229,0.8154,0.1158
-0.5574,-0.8669,-1.0422,1.5753,0.8885,0.7297
0.7637,-0.1555,-0.2884,-3.3681,-2.3741,-1.8523
-0.0112,0.3809,-1.1332,-1.6592,-1.2797,-1.5277
0.9142,0.4397,-0.1598,0.3223,1.0994,0.9204
0.743,0.2028,0.5212,-0.6803,-1.2016,-1.3036
-0.6791,-0.7869,0.0751,0.7879,0.7377,0.2068
-0.1233,-0.0485,-0.0255,-1.0602,-0.1988,-0.1998
-1.882,-2.0265,-3.0109,-2.137,-1.8822,-2.8485
-0.5329,0.292,-0.8176,-0.6025,-0.236,0.27
-0.43,0.7766,0.4145,-1.5264,-0.9557,-0.9574
