x_01,x_02,x_03,x_04,x_05,x_06
-1.1503,0.1906,-0.4108,-1.1513,3.0,0.3719
-0.8854,0.7364,0.6961,-0.8868,3.0,0.3655
-0.0351,-0.8085,0.6502,-0.0346,3.0,-0.1578
0.0007,0.223,1.1896,-0.0007,3.0,0.6462
0.0365,0.5529,0.9274,0.0351,3.0,-0.3339
0.537,0.6636,0.253,0.5391,3.0,未回答
0.3008,0.9902,0.253,0.3008,3.0,-0.8833
0.525,1.0616,0.2693,0.5271,3.0,-0.1084
-0.6627,-0.0119,-0.9414,-0.6623,3.0,-0.0475
-0.0872,-0.7829,-0.1602,-0.0877,3.0,―
1.3084,0.3117,-0.1813,1.3079,3.0,0.3466
-0.2515,0.0281,0.2364,-0.2507,3.0,-1.0307
-0.5903,0.4378,-0.4075,-0.5894,3.0,0.3095
-1.6252,-1.46,-0.9761,-1.6239,3.0,-1.6285
0.2126,1.2133,0.0548,0.2144,3.0,-0.9624
-2.5269,-1.7568,-1.7413,-2.5282,3.0,-1.094
1.2367,0.5252,1.4284,1.2371,3.0,0.9032
0.888,0.3986,-0.3649,0.8884,3.0,-0.1116
-0.1341,-0.1041,-0.1339,-0.1351,3.0,-0.2236
0.0448,-0.6969,-0.1298,0.044,3.0,0.0823
-0.7589,0.9836,0.7113,-0.7605,3.0,0.6262
0.375,-0.1881,-0.7849,0.375,3.0,-0.1758
0.5773,1.0256,1.7271,0.576,3.0,0.0492
-0.965,-1.4234,-1.3327,-0.9632,3.0,-0.2372
0.2135,1.0076,-0.1396,0.2138,3.0,0.5509
0.5343,0.089,0.793,0.5347,3.0,-0.1513
0.9677,0.9208,0.1407,0.9677,3.0,1.5609
1.9473,1.3812,1.7556,1.949,3.0,1.382
0.2786,0.4857,0.9676,0.2786,3.0,-0.7514
1.1496,0.4807,0.1511,1.1503,3.0,0.0537
-1.1948,-1.4234,-2.0918,-1.1944,3.0,-1.9754
-1.2206,0.7824,-0.3048,-1.2216,3.0,-1.6494
0.6211,1.6889,0.6684,0.6211,3.0,1.3643
-0.279,0.2729,0.052,-0.2788,3.0,-0.2124
0.1688,-0.717,0.5074,0.1692,3.0,-0.528
-0.2314,0.5171,0.6639,-0.2306,3.0,0.2262
0.4718,-0.0069,0.7972,0.4721,3.0,0.4832
0.4043,0.2094,0.5073,0.4052,3.0,0.0883
-1.5547,-1.8496,-1.7744,-1.555,3.0,-0.3316
0.9475,0.439,-0.1042,0.9466,3.0,0.3646
1.0179,0.9032,1.3339,1.0169,3.0,-0.2732
-0.9788,-1.7472,-1.0109,-0.9782,3.0,-0.6793
-0.1938,0.6458,1.0106,-0.1924,3.0,0.1657
-1.4538,-1.009,-0.2339,-1.4544,3.0,-0.6362
0.6712,1.1726,0.3974,0.6694,3.0,0.7429
1.2703,0.7341,0.9583,1.2705,3.0,0.8168
0.1539,0.2578,0.2122,0.1532,3.0,0.3792
-0.1096,0.3333,-0.4996,-0.1086,3.0,-1.0961
1.1669,1.0304,-0.3447,1.1671,3.0,0.1914
-0.5705,-0.35,-1.2332,-0.5711,3.0,0.2032
-0.943,-0.1573,-1.6105,-0.9424,3.0,-1.3734
-0.2961,-0.88,-0.2901,-0.2957,3.0,-1.0818
0.1762,-0.2998,-0.8699,0.1767,3.0,-0.8148
0.6086,0.69,1.1636,0.6078,3.0,-0.014
1.6942,1.3583,1.5511,1.6964,3.0,1.0171
0.2697,0.3232,0.1557,0.269,3.0,0.281
0.283,0.7257,0.1208,0.2835,3.0,-0.1558
-1.1781,-0.6927,-1.4413,-1.1765,3.0,-1.1772
0.4448,0.1701,0.3845,0.4471,3.0,0.1685
-0.8162,0.4268,-0.7964,-0.8159,3.0,-0.8515
