研修参加度,自己効力感,業務成果
0.5244,0.5727,0.7147
-3.9681,-3.2743,-2.8084
1.5164,1.0625,0.4574
2.286,1.8927,0.9776
1.4682,1.8143,1.4029
-0.2822,-0.5144,0.1678
2.2382,0.444,2.343
-0.2136,-0.1188,0.6949
0.0696,0.0807,1.0896
-0.5403,0.7567,-0.7578
0.0885,-0.3216,-0.3471
0.7287,0.6078,0.4534
1.1048,0.5227,0.2099
0.8979,1.4586,0.6683
2.6779,1.3464,2.5254
-1.0881,-0.1542,0.2929
-1.1822,-0.7982,0.3717
0.0694,0.2049,0.4078
-0.7633,0.2179,-0.5352
-0.7626,-1.9725,-0.7921
-1.6721,-0.9867,-0.1921
-0.8758,-1.0272,-0.6765
-0.0562,-0.7067,1.33
0.3529,0.301,1.4744
-0.0291,0.1017,0.312
1.228,1.2745,1.1384
0.8411,1.7095,2.0147
0.4244,-0.5346,0.6839
-0.2688,-0.3961,0.7588
0.7515,0.7939,-0.8315
1.4944,0.8349,-0.9935
0.4513,1.5202,0.6953
0.7333,-0.2891,0.0507
0.5532,0.6754,-0.777
0.257,-0.6255,0.7321
1.2743,1.4183,0.8019
0.3759,1.1553,0.5329
-0.3974,-0.0841,-0.7065
-1.8854,-0.8001,-1.6343
0.0271,-1.6247,-0.101
1.6413,0.2433,0.6037
-1.8407,-1.3372,-1.1923
-1.0225,-3.0518,-1.8454
0.8237,-0.0307,0.7183
-0.5469,-0.3889,0.1716
-1.2738,0.0297,-1.4017
1.8157,-0.1529,0.5854
-0.0043,0.6687,-1.249
0.8527,0.4398,0.7905
-1.4397,0.3926,0.0697
-1.1587,0.5735,0.088
1.5722,2.0728,-0.0348
0.2491,0.5031,-1.6275
0.0074,-0.2695,-0.8166
-2.5219,-0.2554,-1.0122
1.5248,0.68,-0.2593
1.426,0.4631,-0.4341
0.6702,-0.0189,0.535
-1.0046,-0.5021,-2.0414
0.4747,0.689,1.9686
0.0099,0.8599,1.1157
-1.1566,-0.9061,-0.0427
0.1435,0.6375,0.8465
-1.6014,-2.1475,-1.6207
1.4003,0.4642,0.7091
0.8723,1.3267,0.8179
0.5765,0.0443,1.8805
-1.1746,-0.9837,-0.5872
0.1234,-0.4744,-0.0393
-0.7236,-0.8658,-1.0001
0.4498,-0.5928,0.3151
0.0157,-1.6331,0.0931
-0.3846,-0.5356,-1.3188
0.8523,-0.2581,1.3564
-0.3218,-1.5452,-1.3126
1.1456,0.867,0.3696
-0.3628,-0.9489,-0.8524
-0.5616,1.0944,0.6057
1.2608,-0.9088,1.2355
0.3294,0.2576,0.1246
1.4746,1.9602,1.3448
-1.0177,0.301,0.4632
-2.4211,-2.6571,0.27
0.4034,0.3763,2.1266
0.205,0.3359,0.6704
-1.6053,-0.2249,-1.688
0.7325,0.267,-0.7459
0.5799,0.6071,0.5638
1.1943,1.8064,-0.8333
-0.4741,-0.5044,0.0377
0.4253,0.7664,-0.1489
-1.1238,-1.7477,-0.5892
1.1718,0.2226,0.6411
-0.1276,-0.4857,0.2802
0.8293,1.7018,0.1501
0.3714,1.6414,1.6879
0.2448,-0.7804,-1.3594
1.1815,0.7221,-0.1616
-1.1481,-0.8379,-0.963
0.8198,0.7483,2.1881
1.0139,-0.0296,-0.3993
0.396,0.3758,-0.4085
-0.8588,-0.4103,2.8246
0.4569,0.9216,-1.3813
0.165,-1.3561,-2.0279
-2.2334,-0.1202,-0.5798
-0.6815,-0.67,-0.6558
-1.1123,-1.6054,0.2274
1.0035,0.9471,0.4327
-0.8215,-0.7494,-0.0253
0.7328,1.7045,1.4697
0.5475,-0.5738,-0.2487
0.0484,-0.0793,-0.614
-0.3834,0.5766,1.0935
1.2251,0.2123,0.7324
-0.0054,-0.4856,-0.5514
1.2658,2.0624,1.6026
0.2122,0.1403,1.2839
-0.1846,-0.1799,-0.6025
-0.847,-0.8904,1.2484
1.7851,0.4352,2.3295
0.44,-0.0964,0.4444
-1.3991,-0.8806,-0.186
1.1668,0.2927,0.0462
0.007,-0.5327,-0.0238
-0.3422,0.6219,0.3836
0.3453,-0.9486,1.0194
-0.3534,-1.9782,-0.7416
-0.9714,-0.2372,-0.8955
0.1399,0.0706,0.4093
0.8424,-0.4532,-0.209
-0.715,-1.4312,-1.1531
-0.3591,0.4125,1.2314
0.1676,0.6196,1.461
1.2042,0.0878,1.1535
0.3835,0.0876,-0.1044
1.1219,0.8618,-0.4128
-0.2311,-1.105,-1.9345
0.1495,0.2287,-0.2712
-0.0603,0.8799,0.059
-0.6906,-0.1244,-0.8992
0.1442,0.6609,-0.6965
-0.3238,0.6525,0.1842
0.3884,0.3839,1.2508
0.3558,-0.1985,-1.275
1.6668,1.1027,0.7822
-0.8992,-0.1177,0.115
-0.0592,-0.3636,1.3312
-1.8079,-0.9448,-0.0236
-0.563,-0.8105,-0.372
-0.3233,0.7237,-0.4643
-0.7355,-1.1973,-0.5353
0.5919,-0.2446,1.4542
0.7645,-0.0588,-1.8495
0.7454,0.9724,0.4095
1.2196,1.7176,2.0558
-0.6684,-0.925,-0.3748
-0.6495,-0.3004,0.0653
0.3614,1.0591,0.9085
1.1712,0.0999,-0.3025
-0.8603,-1.5019,-0.1764
2.5762,1.2655,1.2195
-1.4453,-1.1744,-0.6411
0.3345,0.914,-0.2341
0.8222,0.8836,1.2201
-0.3213,1.009,-0.3783
1.1336,0.4274,0.5191
0.7606,-0.687,0.4328
1.0373,0.4933,0.4176
0.2236,0.9921,1.3399
-0.0761,-1.4349,-0.7489
0.234,0.1474,0.1023
0.32,1.5062,-0.7001
-0.3266,-0.9493,-1.5741
-0.7719,0.3114,-0.1945
0.7046,-0.9616,-0.5191
1.5944,1.0605,1.2603
-0.4538,0.0604,0.211
1.3,0.682,1.7786
0.0221,0.5202,0.6296
0.9961,0.6801,1.1985
-1.4634,0.2258,0.0666
0.7054,-0.0406,0.4445
0.3626,1.1901,-0.0322
1.0606,-0.8275,-0.2755
-1.9086,0.862,-0.6588
-1.0143,0.3818,-1.6586
0.2034,1.1258,-0.3048
1.2377,0.7958,1.2406
-0.744,-0.5547,-0.0684
-0.8766,-0.6778,-0.759
0.005,1.1947,0.3468
-1.1047,0.2221,-0.9723
-1.5959,-0.2562,-0.2274
-0.1495,-0.8928,-0.2701
0.3272,0.3541,0.4545
0.8405,0.5519,0.6302
0.5822,0.2277,0.6988
1.5196,0.4086,-0.2259
-0.0043,-0.9946,-1.054
-1.0903,1.7466,0.6332
-1.3315,-0.2132,0.5976
-2.0743,0.1411,-1.7069
0.814,-1.1127,0.018
-0.1337,1.9951,0.8638
-2.0213,-2.128,-1.2526
0.4294,0.673,0.9727
0.4201,0.2018,0.0555
-0.8786,0.1881,-0.6932
1.4446,0.8915,0.7741
-0.4787,0.7372,0.9664
0.9074,-0.4209,-0.0231
-0.1089,-0.1089,-0.1372
0.7511,0.503,1.3562
0.4499,-1.0774,-0.4665
-0.5548,-1.6663,-1.2101
-0.74,-1.0042,-0.9767
1.6079,1.4607,1.8212
-1.1344,-0.4186,-0.922
-0.3549,1.3915,0.1237
-0.6911,1.3156,-1.2097
-0.3726,-0.6851,0.5738
-0.2969,0.0309,0.1736
0.0172,-0.5488,0.7801
1.6187,1.0676,1.3788
0.954,0.2824,-0.9934
-1.1593,-1.6824,-2.2625
1.3136,0.0671,0.4606
1.8373,1.4427,1.9496
-0.6348,-0.6471,0.9111
0.8161,-0.4414,-0.3921
0.4912,1.65,1.7619
-0.7347,1.243,-0.0426
0.4439,0.0669,0.4598
-0.1588,0.8404,-0.1211
-0.1291,0.8149,-0.5566
0.9928,0.8297,0.9017
-1.8755,-2.3301,-1.2605
0.8772,0.3848,-0.5719
-1.1283,0.0713,-0.0875
0.6287,0.2103,1.6722
-1.986,0.3961,0.8625
0.2546,0.1228,-0.9943
0.1642,0.1403,-1.1947
-0.6025,-0.8971,0.6869
-0.5928,-0.3395,-0.7232
0.3155,0.3168,-0.1301
-0.3672,-0.1452,-1.4895
1.6594,1.481,2.63
-0.7004,0.9778,0.3598
-0.3922,0.8827,-1.0144
-0.5561,0.9124,1.1255
-0.2602,-0.0853,-0.2994
0.8729,-1.0819,-1.122
1.3831,-0.2019,0.3149
0.0707,-0.5542,-1.6449
0.094,0.1539,0.168
1.2137,-0.5196,0.8702
-0.3242,0.3193,0.5806
0.2425,-0.0413,0.564
1.1603,1.165,1.0944
-0.3207,1.1059,0.6468
0.1013,-0.7934,-0.6143
0.279,0.5191,0.3359
0.5518,-0.8732,0.1078
1.3715,0.445,0.1752
0.3187,0.4154,-0.8092
-0.2549,-0.1668,0.2866
-1.3049,-1.6569,-0.9572
0.9772,0.7121,0.6844
0.4669,0.2927,-0.2783
-0.0259,-0.507,-1.2832
0.0124,0.1395,0.748
1.1608,1.1568,-1.1377
1.3529,2.1424,1.369
0.5762,0.188,-0.5983
1.2254,0.8644,0.3304
-1.1138,-2.1754,-2.4852
-0.8358,-0.4378,-0.4852
0.9657,0.5102,0.5004
-0.7481,0.5156,1.426
-2.2155,-1.1114,-2.6683
-0.1028,0.6774,-0.2748
-0.5303,-1.2025,-1.0206
-0.36,0.6031,0.0249
2.5486,2.7471,0.8548
-1.3966,-0.6879,-0.324
-0.0345,-0.4111,0.9821
-0.768,0.6656,-0.3498
0.6789,0.4021,-0.0717
1.5872,2.0485,2.6409
0.5465,1.3797,-0.0408
-1.0838,-0.7183,-0.2215
-0.5529,0.3669,-0.6486
1.0692,-0.0072,0.9227
1.3389,-1.345,-0.0017
0.2069,-0.4897,1.6658
1.6452,0.2026,-0.5211
-0.3207,-1.1486,-1.2589
0.2963,-1.53,-2.0212
-0.4928,-0.1733,-1.524
-0.4723,0.4493,-0.5378
0.2928,1.1633,0.6189
0.6269,0.2804,0.6756
0.2257,-0.8006,-0.0339
1.1467,1.3023,0.6934
-0.0918,-0.1169,-0.2077
-0.4236,-0.6507,-0.6386
-0.1314,0.0897,-0.2971
-1.6739,-0.5059,-1.673
0.8,-0.1802,0.3721
-0.0496,0.006,-0.1971
0.2923,-0.6495,0.3236
1.0078,0.1574,-0.6259
-0.4839,-1.2699,-0.822
2.0538,1.4718,0.45
0.6703,1.1302,-0.3538
0.9897,0.771,-0.6165
-0.6751,0.5015,0.8346
0.115,-1.0072,-0.3325
-2.2217,-0.1457,-2.1844
-0.6322,-0.6515,-1.0242
-2.2182,-0.5374,-1.5967
1.2605,0.7019,0.998
-0.4732,0.0587,-0.5907
0.1788,0.5632,-0.0651
0.1276,0.6634,0.2307
0.3632,1.2295,2.1136
-0.8296,-1.476,-0.956
0.8452,0.3187,0.6222
0.7308,-0.7177,0.9286
1.5269,0.4459,0.5497
-0.7922,-0.2095,-0.4049
1.0122,0.8936,-0.6901
1.4886,2.1792,0.499
-0.3886,0.0084,2.8678
1.5609,0.9011,0.226
-2.0466,-1.2248,-1.7925
0.2922,-0.5686,-0.9888
-0.6405,-1.0138,0.4175
-1.5315,-0.0757,-0.8394
-0.1612,0.5927,0.1793
1.6554,1.433,0.6471
0.6115,1.1073,0.91
0.3365,0.3403,0.5749
-0.9374,-0.186,0.2024
-0.4864,-1.7099,-1.9461
-0.5226,0.2207,0.8512
-0.5397,0.2029,1.9465
-0.0857,-0.2168,-1.1388
-0.6444,0.1025,-0.663
0.1415,0.6925,1.2646
-2.02,-0.5816,-0.7231
0.1102,-0.2429,0.581
-1.7808,-2.146,-0.281
1.0475,0.1235,-0.7352
0.675,-0.1233,0.1568
-1.8541,-0.7101,-0.0904
0.8392,-0.5213,0.2717
1.0325,-0.9851,-0.2613
-0.1846,-0.5659,0.0515
-0.3979,-1.0098,0.4556
1.3286,1.3691,1.5864
0.6546,-0.7924,1.2177
-2.0028,-0.5929,-0.2035
1.526,-0.1245,0.174
-1.0473,-0.0361,-1.2149
2.2112,1.9638,2.5466
-0.2113,0.3183,0.58
0.9598,0.4381,0.3514
0.2521,-0.2813,-0.5714
0.5355,0.0909,0.2654
-0.2832,0.2415,-0.6191
-0.56,0.2977,-0.4247
-0.4094,-0.2042,0.4278
0.8163,1.7297,0.2774
1.4109,-0.5359,-0.2041
-1.7442,-2.001,-0.2709
0.0089,-1.296,-0.5362
0.1181,-1.3033,0.8646
1.073,0.7336,0.6334
-1.1274,-0.771,-1.306
0.2411,-0.3519,0.5369
0.0701,-1.2714,-0.4168
0.576,0.5741,0.7042
0.5807,0.1445,1.1194
-0.8246,-0.6048,0.5589
2.202,0.7748,2.8912
-0.285,-0.4802,0.7454
0.6387,1.5567,0.0103
0.234,0.8822,-0.3758
-0.6714,1.124,0.9876
-0.2043,0.7349,-0.5863
0.6675,-0.1223,-0.888
0.4798,1.2983,0.2561
2.6088,2.4722,1.4044
0.43,0.8914,0.692
0.0717,0.6295,0.3589
0.8339,1.29,-0.284
-1.7899,0.1119,0.1519
0.2641,-0.2611,-1.456
-1.8468,0.2548,0.1645
-0.4566,0.4457,-0.7658
-0.5012,-0.0435,0.2103
-1.0227,-0.5625,-1.5559
-0.1998,-1.2255,-0.5387
0.4884,0.7642,-1.8983
-0.8936,-0.856,-0.7795
-0.3393,-0.0573,-0.0931
-0.1071,-1.0988,-0.755
-1.6702,-0.6589,1.0236
1.4798,0.3795,0.6305
-0.5532,-2.4119,-1.7457
-0.0094,-0.2115,0.3808
-0.8947,-0.5501,0.6951
-1.1288,0.0833,-0.8697
0.1271,0.4341,-1.0365
0.3466,0.6786,0.704
-0.3584,-0.4319,-0.3759
-1.1325,-1.2683,-0.6289
0.9216,0.3515,0.7179
0.0683,1.0618,-0.2193
2.0138,1.3473,-0.3517
-1.4763,-0.8192,0.8331
0.5346,-0.0658,-0.7824
-0.3027,0.8141,0.0414
0.5448,1.6431,1.2559
-0.0729,0.7983,-0.4179
-1.1461,-1.0396,-0.8551
0.0002,-0.5811,0.1483
0.0871,-0.5104,-1.4822
1.4705,1.3777,1.3725
-0.3903,0.413,-0.4931
-0.5535,-0.2986,0.3395
-0.053,-0.8088,-1.1779
-1.4062,-1.508,-1.841
-0.392,-0.6711,-0.1438
-0.2052,0.5246,0.0752
0.0789,-0.1087,0.891
-0.8957,-0.3459,-1.7527
-1.5211,0.5011,0.4009
0.2693,-0.3027,0.4226
-0.8268,1.0523,-0.3376
-2.0107,0.0515,-1.1053
-0.1434,0.1242,0.4552
-0.6672,1.373,0.3945
-0.5913,-1.7361,-0.1061
0.9729,0.6488,-0.3993
-0.6946,-0.0721,1.094
0.7353,0.7562,0.1052
0.451,0.3019,0.7633
-0.2172,-0.714,0.6565
-0.8324,0.7356,-0.2009
1.4091,1.1815,0.7499
-0.2157,1.2241,-0.6877
0.4367,0.7787,1.0596
-1.7024,-1.1081,-0.554
-0.291,-2.0292,-1.6699
0.1885,0.1268,0.5252
-1.2127,-0.3536,0.767
-0.0455,-0.8051,0.9477
-1.1151,-0.3356,0.0859
1.734,0.2868,0.986
-0.1146,0.2655,-0.6505
-0.8796,-1.004,-1.216
-0.9442,0.753,0.7925
-1.4931,-0.6897,-0.0713
-1.1747,0.0881,0.3666
-1.0151,-0.9645,-0.5177
-0.2481,-0.3586,-1.3764
1.6762,1.4564,0.7021
0.03,-0.42,-0.6408
0.7692,0.3205,0.701
-0.5098,-0.7425,-0.4152
-1.1607,-1.7818,-1.1109
-0.4024,0.0922,0.9354
1.2716,1.2525,2.4559
0.3948,-0.0991,0.8091
-0.6423,1.3536,-0.0518
0.2636,0.4109,0.5103
0.284,0.1642,0.7963
0.936,-0.7112,-1.7721
-1.0453,-1.3396,-0.8351
1.257,1.0293,0.1418
-1.1061,0.0279,-1.5759
0.469,0.5273,0.7559
1.2891,-0.2412,-0.017
-0.0437,-1.672,1.4981
1.8228,0.7066,0.6681
1.2183,1.8821,2.7594
-0.8984,0.0471,1.5579
-1.7826,-0.6169,-1.5007
-1.0879,0.0813,-0.7143
-1.2714,-0.5716,-0.0809
