se_01,se_02,se_03,wb_01,wb_02,wb_03
0.4518,0.0384,0.0053,2.9521,0.7343,1.7681
1.1513,2.1952,1.1045,,1.2637,1.4268
,0.1226,1.2292,1.5942,2.5148,1.5824
1.1085,-0.0397,0.4911,0.3069,-0.6599,0.709
1.9601,1.164,2.5335,,0.4896,0.4472
-1.4249,-1.6049,-1.5276,-1.2534,-0.5731,0.0093
,-0.8718,-1.053,0.9687,0.6554,-0.1368
-0.1145,-0.8421,0.29,0.5325,0.3831,0.0817
-0.1673,-1.1844,-1.7735,0.6465,0.4895,0.0209
,0.0942,1.374,-1.9035,,-0.5431
1.2995,1.0356,-0.1779,1.3883,0.3319,0.0454
-0.0571,-0.8065,-0.5839,0.8981,0.0138,1.0816
,0.2193,-0.5307,0.4673,0.0275,
-0.5706,-0.1015,0.2945,,-1.023,-0.8605
1.7063,1.2268,1.1121,1.3125,,1.9585
-0.7425,-1.1206,-1.7699,-1.2282,-0.4359,-0.4075
0.2527,-0.5484,0.0867,-1.0002,-0.2614,
-0.1771,0.0745,1.6879,,1.1904,
-1.8521,-1.4423,-1.1457,-0.4991,-0.392,1.7772
0.63,-0.5498,0.5414,-1.395,-1.7703,-1.0269
2.8274,1.5526,1.9822,,1.8581,2.1575
-0.2093,-0.4465,0.191,-0.1507,-0.4351,-0.1844
,-1.894,-0.5093,1.229,0.0698,-0.3114
-1.6684,-1.6707,-1.7437,-1.443,-1.5647,-2.5112
,0.4365,-0.2184,1.1294,0.175,-0.0645
2.1722,0.9169,,0.169,-0.0907,0.3989
0.3439,0.5034,0.5248,1.4781,1.0931,1.2891
0.5635,-0.8528,0.1017,-0.3552,-0.0825,-0.8492
-1.4607,0.3923,-1.4984,-1.508,-0.5794,-1.2525
1.8358,0.0819,1.1917,,1.4396,-0.9302
0.1323,-0.3831,0.7972,0.7272,1.725,
0.7728,0.6604,-0.4539,0.6074,1.4726,1.005
,-0.1113,-0.579,0.3438,-0.0569,0.6813
-0.3304,-0.0277,-0.8711,1.1718,1.7392,-0.4035
-0.2849,,0.4859,0.9327,0.4879,1.7671
0.7777,,0.0814,-0.4429,0.5716,0.1683
-0.5163,-0.8212,-0.2709,-0.2148,1.1603,0.4065
1.3092,0.7649,0.605,-0.0512,0.8907,0.2873
-0.4583,-0.2859,-0.2147,-0.0108,-0.226,-0.275
0.383,0.6536,0.7394,0.4096,0.1622,1.3209
0.8197,1.1718,0.6884,0.9918,0.6506,0.3009
1.8494,1.313,2.0018,1.6879,0.5299,1.0202
2.6842,3.6274,3.2709,2.616,2.6538,3.3634
-0.6898,-0.7804,0.015,0.8067,,-0.0339
1.2968,-0.4482,1.3566,1.2713,1.8779,1.4068
-0.1521,0.2973,-1.0934,-2.4036,-0.8003,-0.991
-0.5459,-0.9207,-0.4893,-0.7148,-1.0163,0.4704
0.2186,,-0.7897,-0.8094,-0.2933,0.0286
-0.0465,0.2119,-0.7484,-1.1204,,0.4354
-0.7864,0.0467,-0.3858,-0.034,0.5023,0.1703
-0.129,-0.4649,-0.3325,-0.3678,1.0025,0.1178
1.2644,-0.2855,1.3085,-1.036,-0.0403,0.1604
0.4398,-0.2147,-0.3601,-0.2318,0.4538,-0.3658
0.7197,0.2304,0.7354,,0.2183,-0.3381
0.852,-0.5246,-0.4542,-0.297,-0.351,-0.075
2.0,0.7124,0.4367,1.4847,1.1551,1.729
0.3856,0.0959,-0.1574,-2.1233,-0.8914,-0.927
,-0.2853,,-0.6928,-1.9698,-0.9545
0.2863,0.679,0.1412,-1.198,-1.3514,0.2002
0.4809,0.9168,0.0838,-1.1664,0.3984,-1.0352
0.632,1.6105,0.3728,0.5763,0.4369,0.3221
-0.9748,-0.6662,-0.8303,-0.1729,-0.2524,-1.5183
