subject_id,group,age,gender,pre_score,post_score,region
1,対照,53.0,女性,66.1,65.7,近畿
2,介入,40.0,男性,37.8,41.3,北海道
3,対照,45.0,女性,52.5,45.5,北海道
4,対照,43.0,女性,68.2,71.8,東北
5,介入,49.0,女性,33.5,43.8,中部
6,対照,62.0,男性,37.2,130.0,関東
7,対照,46.0,男性,45.8,45.5,関東
8,対照,53.0,男性,44.8,51.3,東北
9,介入,20.0,男性,,72.5,近畿
10,介入,44.0,男性,52.4,66.6,東北
11,介入,35.0,女性,32.3,40.5,北海道
12,対照,30.0,女性,55.2,50.6,近畿
13,対照,34.0,女性,44.2,38.2,
14,対照,41.0,男性,62.7,65.3,北海道
15,介入,56.0,男性,43.7,54.0,関東
16,介入,29.0,女性,43.6,59.4,近畿
17,対照,45.0,男性,55.4,62.5,
18,介入,39.0,女性,,64.8,九州
19,対照,41.0,女性,54.5,47.5,関東
20,対照,57.0,男性,33.1,31.7,関東
21,対照,,男性,55.4,57.2,近畿
22,介入,61.0,男性,39.7,46.4,北海道
23,対照,43.0,男性,52.4,49.4,東北
24,対照,37.0,男性,35.8,37.8,中部
25,対照,42.0,女性,54.5,51.9,近畿
26,介入,48.0,女性,41.9,46.2,北海道
27,介入,47.0,女性,37.2,47.0,中部
28,介入,32.0,女性,57.1,62.7,関東
29,介入,46.0,女性,52.4,61.9,中部
30,対照,48.0,男性,43.9,46.0,九州
31,対照,75.0,男性,64.5,58.2,北海道
32,対照,68.0,女性,45.6,43.2,九州
33,介入,35.0,男性,50.3,66.9,関東
34,介入,42.0,男性,52.7,53.7,近畿
35,介入,27.0,女性,43.8,39.1,関東
36,介入,38.0,女性,54.7,,東北
37,介入,49.0,,44.7,52.8,近畿
38,介入,59.0,女性,45.9,54.1,近畿
39,介入,36.0,男性,63.6,70.9,北海道
40,対照,37.0,女性,39.6,47.4,近畿
41,介入,20.0,女性,25.9,17.8,近畿
42,対照,43.0,女性,66.1,69.0,関東
43,対照,32.0,女性,75.5,85.4,九州
44,介入,39.0,女性,45.9,47.2,中部
45,対照,,男性,30.6,28.9,関東
46,対照,44.0,男性,46.9,42.9,北海道
47,介入,24.0,男性,47.1,49.8,近畿
48,介入,27.0,男性,48.1,54.1,東北
49,対照,71.0,男性,38.9,47.9,近畿
50,介入,30.0,男性,55.8,74.8,中部
51,介入,32.0,女性,55.2,61.2,関東
52,介入,67.0,女性,35.1,54.5,北海道
53,対照,80.0,女性,57.0,57.7,近畿
54,対照,31.0,女性,70.5,81.5,北海道
55,対照,41.0,女性,51.7,51.7,関東
56,対照,49.0,女性,46.6,47.9,九州
57,介入,66.0,男性,48.6,58.8,九州
58,対照,33.0,女性,56.2,75.7,九州
59,介入,42.0,男性,32.7,45.8,九州
60,介入,54.0,男性,51.6,55.4,中部
61,対照,50.0,女性,46.1,52.4,東北
62,介入,40.0,女性,68.5,74.3,九州
63,対照,43.0,男性,48.3,45.8,近畿
64,対照,29.0,男性,66.7,72.6,九州
65,対照,42.0,男性,39.0,39.6,中部
66,対照,42.0,男性,55.9,58.0,北海道
67,対照,48.0,男性,53.2,53.8,中部
68,介入,38.0,女性,41.3,51.3,関東
69,介入,51.0,女性,51.8,62.3,九州
70,介入,57.0,女性,62.1,58.5,
71,介入,47.0,女性,46.8,58.8,東北
72,介入,49.0,女性,33.1,35.2,北海道
73,対照,46.0,女性,49.8,41.7,九州
74,介入,45.0,男性,41.0,48.6,近畿
75,介入,36.0,男性,46.6,55.1,北海道
76,介入,49.0,女性,49.2,53.0,関東
77,介入,,男性,32.9,45.9,関東
78,対照,150.0,男性,33.8,26.3,
79,対照,64.0,男性,54.8,52.9,九州
80,対照,50.0,女性,44.8,41.8,北海道
81,対照,36.0,男性,24.4,24.6,東北
82,介入,32.0,女性,57.8,67.5,東北
83,対照,59.0,男性,52.7,47.2,東北
84,介入,48.0,男性,42.9,55.2,九州
85,介入,51.0,男性,36.8,45.2,九州
86,介入,24.0,男性,58.4,55.0,北海道
87,対照,56.0,女性,53.5,42.2,
88,介入,50.0,男性,73.8,81.8,東北
89,介入,32.0,男性,54.2,60.9,東北
90,対照,39.0,,53.9,53.8,東北
91,介入,48.0,,48.3,56.2,東北
92,対照,46.0,男性,58.2,60.0,関東
93,介入,41.0,女性,56.3,69.9,九州
94,介入,44.0,,62.5,63.9,中部
95,介入,42.0,男性,44.8,45.8,近畿
96,対照,47.0,女性,45.6,39.6,関東
97,介入,63.0,女性,45.2,,北海道
98,介入,20.0,女性,57.9,73.4,北海道
99,介入,42.0,,65.0,70.4,東北
100,対照,47.0,男性,45.4,30.9,東北
101,対照,49.0,男性,45.8,36.0,九州
102,対照,41.0,女性,53.1,48.6,
103,介入,24.0,女性,47.5,52.2,九州
104,対照,49.0,男性,59.5,57.6,中部
105,対照,66.0,男性,27.5,,
106,対照,27.0,女性,41.7,40.4,中部
107,介入,55.0,女性,42.2,56.5,関東
108,介入,41.0,女性,26.8,30.7,近畿
109,介入,44.0,男性,40.4,43.2,近畿
110,対照,32.0,女性,40.8,44.2,近畿
111,介入,41.0,男性,48.0,46.8,中部
112,介入,61.0,女性,61.1,71.5,北海道
113,介入,52.0,男性,47.5,56.2,近畿
114,対照,66.0,男性,39.7,39.3,関東
115,介入,59.0,男性,49.4,67.0,近畿
116,対照,50.0,女性,60.5,57.3,
117,対照,66.0,女性,40.2,53.1,九州
118,対照,50.0,男性,40.9,40.0,関東
119,介入,55.0,女性,55.6,,九州
120,対照,41.0,男性,47.8,48.7,九州
121,対照,46.0,男性,-20.0,50.5,東北
122,対照,37.0,男性,49.9,45.9,関東
123,介入,57.0,女性,57.0,67.4,中部
124,介入,31.0,男性,39.6,51.0,近畿
125,介入,54.0,女性,49.9,54.1,
126,介入,43.0,男性,47.9,61.8,九州
127,介入,59.0,男性,37.8,52.8,関東
128,介入,54.0,男性,34.4,51.0,
129,介入,67.0,女性,56.9,68.0,関東
130,対照,54.0,男性,46.5,55.2,九州
131,介入,26.0,女性,39.8,36.5,東北
132,対照,44.0,,49.0,47.6,中部
133,対照,31.0,男性,61.3,56.6,北海道
134,介入,,女性,27.2,35.9,九州
135,対照,63.0,女性,35.0,32.1,関東
136,介入,53.0,男性,40.8,47.8,関東
137,対照,,男性,64.6,76.4,中部
138,介入,33.0,男性,52.8,59.8,関東
139,対照,45.0,女性,57.7,60.7,九州
140,介入,30.0,,38.6,45.2,中部
141,介入,37.0,女性,38.8,47.3,中部
142,介入,49.0,女性,54.5,62.5,北海道
143,対照,59.0,女性,50.6,53.8,北海道
144,対照,52.0,男性,,63.0,関東
145,介入,20.0,女性,48.1,66.0,九州
146,介入,49.0,男性,52.8,62.6,九州
147,介入,46.0,男性,51.6,63.1,中部
148,対照,50.0,男性,57.8,51.4,中部
149,介入,64.0,男性,58.1,65.5,関東
150,介入,20.0,男性,33.8,47.4,東北
151,対照,38.0,男性,27.5,33.2,北海道
152,対照,52.0,男性,60.0,61.8,関東
153,介入,26.0,男性,61.9,75.2,東北
154,対照,63.0,女性,39.8,43.2,東北
155,介入,49.0,男性,31.4,46.6,東北
156,対照,55.0,女性,51.0,53.2,北海道
157,介入,38.0,女性,59.3,65.2,中部
158,対照,55.0,,68.0,70.5,九州
159,対照,58.0,女性,55.2,38.1,近畿
160,対照,48.0,女性,46.3,49.1,関東
161,介入,48.0,女性,41.1,27.2,関東
162,対照,48.0,,50.1,40.3,東北
163,介入,35.0,女性,47.0,57.7,北海道
164,介入,43.0,男性,39.8,50.7,中部
165,対照,43.0,男性,70.5,64.0,中部
166,介入,50.0,,67.9,71.6,北海道
167,対照,57.0,男性,61.4,70.1,関東
168,対照,32.0,女性,40.8,38.4,東北
169,介入,43.0,男性,58.6,80.0,東北
170,対照,63.0,男性,56.4,56.9,近畿
171,介入,36.0,女性,54.4,64.9,中部
172,対照,35.0,女性,62.5,72.7,中部
