respondent_id,age_group,education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
1,30代,専門,5.0,1.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0
2,40代,大学,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0
3,30代,専門,3.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0
4,30代,大学,5.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0
5,50代,専門,5.0,2.0,,4.0,3.0,4.0,3.0,3.0,3.0,3.0
6,60代以上,大学院,3.0,4.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,5.0
7,20代,大学,3.0,5.0,3.0,3.0,5.0,2.0,3.0,3.0,5.0,4.0
8,30代,大学院,5.0,2.0,4.0,3.0,4.0,,5.0,5.0,2.0,4.0
9,60代以上,大学,2.0,2.0,3.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0
10,40代,高校,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0
11,30代,大学,2.0,5.0,2.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0
12,40代,高校,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0
13,20代,大学,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0
14,20代,大学,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0
15,50代,専門,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0
16,40代,大学院,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0
17,50代,高校,4.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0
18,30代,大学,,5.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0
19,60代以上,大学,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0
20,40代,高校,4.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,,1.0
21,50代,大学,2.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0
22,20代,大学,4.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0
23,20代,高校,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0
24,50代,大学,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0
25,60代以上,専門,3.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,5.0
26,60代以上,大学,3.0,3.0,4.0,4.0,3.0,1.0,4.0,5.0,4.0,3.0
27,30代,高校,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0
