date,value,category
2020-01-01,56.83,A
2020-02-01,65.38,A
2020-03-01,60.49,A
2020-04-01,61.62,A
2020-05-01,78.91,A
2020-06-01,76.14,A
2020-07-01,61.98,A
2020-08-01,54.78,A
2020-09-01,57.51,A
2020-10-01,66.64,A
2020-11-01,65.7,A
2020-12-01,77.03,A
2021-01-01,83.36,A
2021-02-01,86.57,A
2021-03-01,90.05,A
2021-04-01,94.26,A
2021-05-01,85.29,A
2021-06-01,88.23,A
2021-07-01,79.41,A
2021-08-01,79.78,A
2021-09-01,86.18,A
2021-10-01,81.68,A
2021-11-01,93.12,A
2021-12-01,87.14,A
2022-01-01,101.32,A
2022-02-01,109.81,A
2022-03-01,122.55,A
2022-04-01,103.25,A
2022-05-01,109.94,A
2022-06-01,113.51,A
2022-07-01,98.1,A
2022-08-01,98.33,A
2022-09-01,101.17,A
2022-10-01,103.7,A
2022-11-01,116.6,A
2022-12-01,118.59,A
2023-01-01,130.56,A
2023-02-01,128.12,A
2023-03-01,129.49,A
2023-04-01,132.17,A
2023-05-01,124.88,A
2023-06-01,128.89,A
2023-07-01,120.34,A
2023-08-01,116.29,A
2023-09-01,122.25,A
2023-10-01,117.31,A
2023-11-01,132.88,A
2023-12-01,134.21,A
2024-01-01,149.97,A
2024-02-01,148.21,A
2024-03-01,156.6,A
2024-04-01,154.45,A
2024-05-01,154.65,A
2024-06-01,147.28,A
2024-07-01,134.21,A
2024-08-01,144.95,A
2024-09-01,139.57,A
2024-10-01,147.23,A
2024-11-01,152.73,A
2024-12-01,152.99,A
2025-01-01,159.85,A
2025-02-01,173.7,A
2025-03-01,172.18,A
2025-04-01,178.48,A
2025-05-01,170.29,A
2025-06-01,172.09,A
2025-07-01,164.89,A
2025-08-01,161.59,A
2025-09-01,158.39,A
2025-10-01,164.69,A
2025-11-01,175.49,A
2025-12-01,176.83,A
2026-01-01,187.34,A
2026-02-01,190.91,A
2026-03-01,194.57,A
2026-04-01,202.67,A
2026-05-01,197.44,A
2026-06-01,187.63,A
2026-07-01,184.1,A
2026-08-01,176.9,A
2026-09-01,179.65,A
2026-10-01,185.33,A
2026-11-01,194.03,A
2026-12-01,201.1,A
2027-01-01,199.39,A
2027-02-01,215.82,A
2027-03-01,213.75,A
2027-04-01,209.37,A
2027-05-01,218.36,A
2027-06-01,214.8,A
2027-07-01,204.6,A
2027-08-01,204.2,A
2027-09-01,204.61,A
2027-10-01,211.01,A
2027-11-01,213.67,A
2027-12-01,210.97,A
2028-01-01,235.23,A
2028-02-01,236.51,A
2028-03-01,231.9,A
2028-04-01,229.41,A
2020-01-01,71.24,B
2020-02-01,68.68,B
2020-03-01,68.11,B
2020-04-01,75.72,B
2020-05-01,69.41,B
2020-06-01,70.05,B
2020-07-01,59.85,B
2020-08-01,63.59,B
2020-09-01,68.52,B
2020-10-01,70.16,B
2020-11-01,67.18,B
2020-12-01,70.31,B
2021-01-01,81.26,B
2021-02-01,87.98,B
2021-03-01,89.38,B
2021-04-01,84.89,B
2021-05-01,87.23,B
2021-06-01,90.49,B
2021-07-01,81.25,B
2021-08-01,70.35,B
2021-09-01,79.63,B
2021-10-01,91.01,B
2021-11-01,78.34,B
2021-12-01,89.96,B
2022-01-01,93.71,B
2022-02-01,99.31,B
2022-03-01,101.99,B
2022-04-01,106.81,B
2022-05-01,99.82,B
2022-06-01,103.03,B
2022-07-01,93.3,B
2022-08-01,90.43,B
2022-09-01,88.93,B
2022-10-01,85.37,B
2022-11-01,99.82,B
2022-12-01,113.74,B
2023-01-01,110.8,B
2023-02-01,115.93,B
2023-03-01,112.61,B
2023-04-01,113.55,B
2023-05-01,117.98,B
2023-06-01,120.35,B
2023-07-01,114.99,B
2023-08-01,109.87,B
2023-09-01,106.11,B
2023-10-01,109.16,B
2023-11-01,108.34,B
2023-12-01,109.9,B
2024-01-01,116.53,B
2024-02-01,126.41,B
2024-03-01,126.88,B
2024-04-01,121.09,B
2024-05-01,126.54,B
2024-06-01,122.37,B
2024-07-01,115.35,B
2024-08-01,117.65,B
2024-09-01,117.99,B
2024-10-01,118.69,B
2024-11-01,130.4,B
2024-12-01,121.28,B
2025-01-01,125.9,B
2025-02-01,139.83,B
2025-03-01,142.48,B
2025-04-01,144.12,B
2025-05-01,137.69,B
2025-06-01,133.04,B
2025-07-01,134.84,B
2025-08-01,130.95,B
2025-09-01,141.01,B
2025-10-01,133.82,B
2025-11-01,139.16,B
2025-12-01,156.84,B
2026-01-01,148.52,B
2026-02-01,156.26,B
2026-03-01,158.89,B
2026-04-01,159.41,B
2026-05-01,155.49,B
2026-06-01,152.26,B
2026-07-01,149.04,B
2026-08-01,143.94,B
2026-09-01,148.55,B
2026-10-01,159.24,B
2026-11-01,159.14,B
2026-12-01,159.64,B
2027-01-01,167.43,B
2027-02-01,162.8,B
2027-03-01,168.02,B
2027-04-01,174.16,B
2027-05-01,175.14,B
2027-06-01,161.1,B
2027-07-01,159.78,B
2027-08-01,171.39,B
2027-09-01,161.06,B
2027-10-01,171.88,B
2027-11-01,167.79,B
2027-12-01,173.01,B
2028-01-01,175.29,B
2028-02-01,185.52,B
2028-03-01,189.77,B
2028-04-01,177.91,B
2020-01-01,85.3,C
2020-02-01,97.01,C
2020-03-01,99.59,C
2020-04-01,91.52,C
2020-05-01,92.45,C
2020-06-01,81.76,C
2020-07-01,79.74,C
2020-08-01,82.45,C
2020-09-01,81.69,C
2020-10-01,78.8,C
2020-11-01,84.25,C
2020-12-01,87.9,C
2021-01-01,100.9,C
2021-02-01,92.98,C
2021-03-01,99.87,C
2021-04-01,95.32,C
2021-05-01,104.34,C
2021-06-01,89.65,C
2021-07-01,95.23,C
2021-08-01,100.88,C
2021-09-01,100.76,C
2021-10-01,85.47,C
2021-11-01,100.18,C
2021-12-01,99.14,C
2022-01-01,103.52,C
2022-02-01,113.11,C
2022-03-01,121.93,C
2022-04-01,118.49,C
2022-05-01,109.53,C
2022-06-01,113.04,C
2022-07-01,94.71,C
2022-08-01,99.78,C
2022-09-01,99.13,C
2022-10-01,105.75,C
2022-11-01,108.54,C
2022-12-01,114.24,C
2023-01-01,119.47,C
2023-02-01,124.65,C
2023-03-01,129.35,C
2023-04-01,127.09,C
2023-05-01,122.54,C
2023-06-01,122.38,C
2023-07-01,120.92,C
2023-08-01,111.62,C
2023-09-01,113.81,C
2023-10-01,122.02,C
2023-11-01,114.89,C
2023-12-01,134.83,C
2024-01-01,124.51,C
2024-02-01,133.67,C
2024-03-01,132.75,C
2024-04-01,148.15,C
2024-05-01,132.31,C
2024-06-01,128.73,C
2024-07-01,125.79,C
2024-08-01,125.74,C
2024-09-01,123.32,C
2024-10-01,126.41,C
2024-11-01,113.62,C
2024-12-01,136.95,C
2025-01-01,142.15,C
2025-02-01,151.45,C
2025-03-01,154.91,C
2025-04-01,147.13,C
2025-05-01,149.76,C
2025-06-01,136.59,C
2025-07-01,142.34,C
2025-08-01,133.26,C
2025-09-01,129.9,C
2025-10-01,137.0,C
2025-11-01,149.13,C
2025-12-01,148.43,C
2026-01-01,160.4,C
2026-02-01,153.37,C
2026-03-01,164.46,C
2026-04-01,155.66,C
2026-05-01,157.67,C
2026-06-01,154.04,C
2026-07-01,152.67,C
2026-08-01,148.23,C
2026-09-01,142.98,C
2026-10-01,153.19,C
2026-11-01,161.64,C
2026-12-01,155.46,C
2027-01-01,154.6,C
2027-02-01,170.47,C
2027-03-01,168.43,C
2027-04-01,169.13,C
2027-05-01,170.18,C
2027-06-01,161.53,C
2027-07-01,158.88,C
2027-08-01,157.34,C
2027-09-01,164.89,C
2027-10-01,159.8,C
2027-11-01,157.66,C
2027-12-01,163.26,C
2028-01-01,175.33,C
2028-02-01,173.18,C
2028-03-01,173.13,C
2028-04-01,183.82,C
2020-01-01,59.99,D
2020-02-01,66.59,D
2020-03-01,69.02,D
2020-04-01,52.96,D
2020-05-01,62.68,D
2020-06-01,63.15,D
2020-07-01,55.19,D
2020-08-01,55.32,D
2020-09-01,58.88,D
2020-10-01,57.96,D
2020-11-01,69.62,D
2020-12-01,73.46,D
2021-01-01,72.97,D
2021-02-01,77.1,D
2021-03-01,66.26,D
2021-04-01,78.87,D
2021-05-01,71.63,D
2021-06-01,76.18,D
2021-07-01,72.52,D
2021-08-01,73.13,D
2021-09-01,76.63,D
2021-10-01,71.94,D
2021-11-01,88.0,D
2021-12-01,83.5,D
2022-01-01,81.52,D
2022-02-01,89.79,D
2022-03-01,93.16,D
2022-04-01,97.98,D
2022-05-01,88.18,D
2022-06-01,88.1,D
2022-07-01,85.46,D
2022-08-01,81.92,D
2022-09-01,88.21,D
2022-10-01,89.79,D
2022-11-01,96.94,D
2022-12-01,95.19,D
2023-01-01,108.6,D
2023-02-01,100.29,D
2023-03-01,102.6,D
2023-04-01,103.46,D
2023-05-01,107.47,D
2023-06-01,110.12,D
2023-07-01,97.77,D
2023-08-01,96.29,D
2023-09-01,97.59,D
2023-10-01,103.96,D
2023-11-01,103.23,D
2023-12-01,108.69,D
2024-01-01,110.38,D
2024-02-01,118.77,D
2024-03-01,129.94,D
2024-04-01,124.5,D
2024-05-01,118.24,D
2024-06-01,124.8,D
2024-07-01,112.37,D
2024-08-01,120.29,D
2024-09-01,120.2,D
2024-10-01,115.89,D
2024-11-01,112.64,D
2024-12-01,137.32,D
2025-01-01,133.55,D
2025-02-01,134.52,D
2025-03-01,143.35,D
2025-04-01,142.07,D
2025-05-01,143.01,D
2025-06-01,129.82,D
2025-07-01,131.4,D
2025-08-01,121.77,D
2025-09-01,131.03,D
2025-10-01,130.01,D
2025-11-01,136.05,D
2025-12-01,139.66,D
2026-01-01,144.87,D
2026-02-01,146.31,D
2026-03-01,157.03,D
2026-04-01,160.52,D
2026-05-01,148.18,D
2026-06-01,150.41,D
2026-07-01,146.48,D
2026-08-01,142.26,D
2026-09-01,134.58,D
2026-10-01,138.13,D
2026-11-01,145.26,D
2026-12-01,144.21,D
2027-01-01,167.68,D
2027-02-01,167.01,D
2027-03-01,167.44,D
2027-04-01,156.64,D
2027-05-01,156.36,D
2027-06-01,162.15,D
2027-07-01,168.69,D
2027-08-01,153.24,D
2027-09-01,161.04,D
2027-10-01,156.75,D
2027-11-01,163.95,D
2027-12-01,175.49,D
2028-01-01,173.43,D
2028-02-01,176.23,D
2028-03-01,189.2,D
2028-04-01,182.33,D
2020-01-01,58.19,E
2020-02-01,63.65,E
2020-03-01,64.95,E
2020-04-01,62.43,E
2020-05-01,63.77,E
2020-06-01,59.32,E
2020-07-01,64.08,E
2020-08-01,57.09,E
2020-09-01,51.29,E
2020-10-01,53.19,E
2020-11-01,57.61,E
2020-12-01,75.07,E
2021-01-01,71.95,E
2021-02-01,83.87,E
2021-03-01,85.87,E
2021-04-01,85.53,E
2021-05-01,86.87,E
2021-06-01,83.22,E
2021-07-01,66.63,E
2021-08-01,77.38,E
2021-09-01,81.79,E
2021-10-01,90.68,E
2021-11-01,95.57,E
2021-12-01,86.06,E
2022-01-01,96.86,E
2022-02-01,95.44,E
2022-03-01,113.68,E
2022-04-01,111.81,E
2022-05-01,107.32,E
2022-06-01,104.15,E
2022-07-01,107.97,E
2022-08-01,105.95,E
2022-09-01,106.35,E
2022-10-01,105.66,E
2022-11-01,106.29,E
2022-12-01,117.6,E
2023-01-01,123.58,E
2023-02-01,123.21,E
2023-03-01,125.22,E
2023-04-01,133.31,E
2023-05-01,134.78,E
2023-06-01,120.47,E
2023-07-01,120.65,E
2023-08-01,122.54,E
2023-09-01,123.89,E
2023-10-01,121.66,E
2023-11-01,138.35,E
2023-12-01,136.77,E
2024-01-01,143.05,E
2024-02-01,153.85,E
2024-03-01,145.62,E
2024-04-01,148.1,E
2024-05-01,141.09,E
2024-06-01,144.25,E
2024-07-01,135.41,E
2024-08-01,145.42,E
2024-09-01,144.45,E
2024-10-01,143.78,E
2024-11-01,149.32,E
2024-12-01,159.36,E
2025-01-01,155.61,E
2025-02-01,166.97,E
2025-03-01,172.26,E
2025-04-01,160.52,E
2025-05-01,171.68,E
2025-06-01,157.63,E
2025-07-01,163.16,E
2025-08-01,156.76,E
2025-09-01,170.4,E
2025-10-01,160.27,E
2025-11-01,162.47,E
2025-12-01,177.12,E
2026-01-01,180.11,E
2026-02-01,179.32,E
2026-03-01,192.28,E
2026-04-01,180.37,E
2026-05-01,183.96,E
2026-06-01,184.02,E
2026-07-01,188.66,E
2026-08-01,189.94,E
2026-09-01,189.65,E
2026-10-01,186.18,E
2026-11-01,179.47,E
2026-12-01,199.3,E
2027-01-01,210.43,E
2027-02-01,213.91,E
2027-03-01,212.86,E
2027-04-01,205.27,E
2027-05-01,207.41,E
2027-06-01,217.46,E
2027-07-01,198.46,E
2027-08-01,198.62,E
2027-09-01,209.74,E
2027-10-01,205.69,E
2027-11-01,206.6,E
2027-12-01,225.88,E
2028-01-01,226.27,E
2028-02-01,226.72,E
2028-03-01,225.71,E
2028-04-01,242.35,E
